provider,type,code,name,status,latitude,longitude
UTC API,Cruce Icarus,CLT#040506,Av. Scalabrini Ortiz - Cabrera,Conectado,-34.5929424,-58.4280627
UTC API,Cruce Icarus,CLT#040505,Av. Scalabrini Ortiz - Gorriti,Conectado,-34.5921844,-58.4268909
UTC API,Cruce Icarus,CLT#040502,Av. Scalabrini Ortiz - Costa Rica,Conectado,-34.5902188,-58.4239287
UTC API,Cruce Icarus,CLT#040501,Av. Scalabrini Ortiz - Nicaragua,Conectado,-34.5897301,-58.4232041
UTC API,Cruce Sitra,93b2b387-d88f-4d6e-a6f3-1d8322299f8b,8285,Conectado,-34.6401351021668,-58.369254675805436
UTC API,Cruce Sitra,375ea690-a55b-42e3-8fbc-a6ed62ec5539,2874,Desconocido,-34.62687110785966,-58.389457331324095
UTC API,Cruce Citar,3540,3540,Error de conexión,-34.5923707,-58.4143953
UTC API,Cruce Citar,3516,3516,Error de conexión,-34.55486,-58.478693
UTC API,Cruce Citar,3517,3517,Conectado,-34.554297,-58.477707
UTC API,Cruce Citar,3519,3519,Error de conexión,-34.552504,-58.471752
UTC API,Cruce Citar,3525,3525,Conectado,-34.552785,-58.474965
UTC API,Cruce Citar,3526,3526,Conectado,-34.552433,-58.474322
UTC API,Cruce Citar,3527,3527,Conectado,-34.553313,-58.475865
UTC API,Cruce Sitra,cee6ed1d-246d-4e9b-b03a-0a7551c47fb6,8256,Conectado,-34.63040387393181,-58.36337435934913
UTC API,Cruce Sitra,33a3bca5-ac83-40f1-836e-7f71e5190f44,2135,Conectado,-34.623723203884936,-58.379766944733895
UTC API,Cruce Icarus,CLT#041009,Sarmiento - Río de Janeiro - A.Machado,Error de conexión,-34.6039268,-58.4323248
UTC API,Cruce Icarus,CLT#041007,Río de Janeiro - Potosí,Error de conexión,-34.6070408,-58.4306006
UTC API,Cruce Icarus,CLT#041008,Perón - Río de Janeiro - Lambaré,Error de conexión,-34.6059379,-58.4307077
UTC API,Cruce Icarus,CLT#041005,Perón - Jerónimo Salguero,Error de conexión,-34.6060349,-58.4198676
UTC API,Cruce Icarus,CLT#041006,Sarmiento - Jerónimo Salguero,Error de conexión,-34.6050724,-58.4197275
UTC API,Cruce Icarus,CLT#041003,Av. Medrano - Sarmiento,Error de conexión,-34.6048799,-58.4212003
UTC API,Cruce Icarus,CLT#041004,Jerónimo Salguero - Potosí,Error de conexión,-34.6072555,-58.4199588
UTC API,Cruce Icarus,CLT#041001,Av. Medrano - Potosí,Error de conexión,-34.6072421,-58.4214171
UTC API,Cruce Icarus,CLT#041002,Av. Medrano - Perón,Error de conexión,-34.606006,-58.4212947
UTC API,Cruce Sitra,a13c5d47-26ec-43f8-873b-ad6465a4aae7,8422,Conectado,-34.64829712441035,-58.38924125368591
UTC API,Cruce Sitra,bb070e35-3774-4a8b-9401-17863a1e1c2c,1172,Desconocido,-34.590880769194136,-58.384217129591974
