Id_hecho,n_victimas,fecha,hora,comuna,tipo_calle,longitud,latitud,victima,acusado,participantes,gravedad
LC-2021-0577543,1,2021-11-18,20:00:00,8,GRAL PAZ,-58.475960830461,-34.694443131295,MOTO,MOTO,MOTO - MOTO,SIN DATO
LC-2021-0577572,1,2021-11-18,18:46:00,11,AVENIDA,-58.460513469101,-34.605885363235,MOTO,MOVIL,MOTO - MOVIL,SIN DATO
LC-2021-0577599,1,2021-11-18,19:30:00,3,AVENIDA,-58.412570864079,-34.610779906599,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0577655,1,2021-11-18,20:20:00,11,CALLE,-58.500004587247,-34.597476545219,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0577664,1,2021-11-18,18:00:00,15,AVENIDA,-58.461605862038,-34.576837425385,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0578378,1,2021-11-18,17:15:00,8,CALLE,-58.472294516246,-34.674363351061,PEATON,MOTO,PEATON - MOTO,SIN DATO
LC-2021-0586434,1,2021-11-18,08:35:00,4,CALLE,-58.375859979652,-34.641153757167,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0589999,1,2021-11-18,15:45:00,15,AVENIDA,-58.440694138990,-34.598112196894,MONOPATIN,SIN DATO,MONOPATIN - SIN DATO,SIN DATO
LC-2021-0638163,1,2021-11-18,18:20:00,12,CALLE,-58.472098361273,-34.546640685455,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0577790,1,2021-11-19,00:45:00,15,AVENIDA,-58.497148367555,-34.596799358174,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2021-0578122,1,2021-11-19,08:40:00,6,CALLE,-58.437430557821,-34.628334843823,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0578138,1,2021-11-19,08:30:00,3,AVENIDA,-58.399909378582,-34.628559422663,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2021-0578292,1,2021-11-19,08:20:00,15,AVENIDA,-58.450876925698,-34.599308378433,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0578406,1,2021-11-19,10:00:00,13,CALLE,-58.463998955358,-34.553029609779,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2021-0578553,1,2021-11-19,10:30:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0578625,1,2021-11-19,12:25:00,12,CALLE,-58.489558166598,-34.572720658540,PEATON,CAMIONETA,PEATON - CAMIONETA,SIN DATO
LC-2021-0578668,1,2021-11-19,10:00:00,1,CALLE,-58.385844025561,-34.621154881605,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0578775,1,2021-11-19,13:10:00,15,CALLE,-58.433172912160,-34.594788405615,MOTO,TAXI,MOTO - TAXI,SIN DATO
LC-2021-0578827,1,2021-11-19,14:35:00,14,AVENIDA,-58.409866463451,-34.577280609204,MOTO,CAMIONETA,MOTO - CAMIONETA,GRAVE
LC-2021-0578895,2,2021-11-19,14:20:00,4,CALLE,-58.378223055363,-34.646392441009,CAMIONETA,CAMIONETA,CAMIONETA - CAMIONETA,SIN DATO
LC-2021-0578903,1,2021-11-19,13:30:00,5,CALLE,-58.423753901199,-34.601949220766,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0578934,1,2021-11-19,16:55:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2021-0578976,1,2021-11-19,15:50:00,12,GRAL PAZ,-58.494910546091,-34.547955815971,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2021-0579197,1,2021-11-19,15:15:00,7,AVENIDA,-58.472563151450,-34.624172324676,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0579239,1,2021-11-19,16:40:00,1,AVENIDA,-58.365790168172,-34.623985954733,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0579293,1,2021-11-19,17:00:00,11,AVENIDA,-58.510489423787,-34.605277709372,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0579472,1,2021-11-19,19:00:00,12,CALLE,-58.479909137131,-34.569079954826,PEATON,AUTO,PEATON - AUTO,SIN DATO
LC-2021-0579569,1,2021-11-19,19:20:00,4,AVENIDA,-58.423788345163,-34.657341003974,AUTO,CAMION,AUTO - CAMION,SIN DATO
LC-2021-0579618,1,2021-11-19,19:15:00,11,CALLE,-58.528174854669,-34.610699694049,SIN DATO,AUTO,SIN DATO - AUTO,SIN DATO
LC-2021-0579656,1,2021-11-19,19:55:00,3,CALLE,-58.393232741874,-34.608247064815,PEATON,AUTO,PEATON - AUTO,SIN DATO
LC-2021-0579680,1,2021-11-19,20:00:00,13,CALLE,-58.462830776786,-34.549427017576,AUTO,AUTO,AUTO - AUTO,SIN DATO
LC-2021-0586628,1,2021-11-19,15:30:00,13,AVENIDA,-58.449030739654,-34.542002766703,AUTO,AUTO,AUTO - AUTO,SIN DATO
LC-2021-0626036,1,2021-11-19,08:30:00,1,AVENIDA,-58.382840250853,-34.592833384668,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0579868,1,2021-11-20,01:01:00,14,CALLE,-58.438840824016,-34.575275610302,TAXI,AUTO,TAXI - AUTO,SIN DATO
LC-2021-0579908,1,2021-11-20,02:10:00,13,CALLE,-58.452365268188,-34.56809441275,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2021-0579951,1,2021-11-20,01:25:00,14,AVENIDA,-58.404875213431,-34.576550139141,MOTO,TAXI,MOTO - TAXI,SIN DATO
LC-2021-0580192,1,2021-11-20,00:00:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0580412,1,2021-11-20,11:59:00,15,AVENIDA,-58.455919520022,-34.593502513880,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0580443,1,2021-11-20,14:17:00,10,GRAL PAZ,-58.529944790703,-34.625070959963,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0580513,1,2021-11-20,13:25:00,3,CALLE,-58.395868216849,-34.611943757279,PEATON,TRANSPORTE PUBLICO,PEATON - TRANSPORTE PUBLICO,SIN DATO
LC-2021-0580613,1,2021-11-20,15:20:00,10,AVENIDA,-58.494852422579,-34.629534457407,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2021-0580765,1,2021-11-20,17:10:00,1,AVENIDA,-58.381280580011,-34.614244630848,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0580796,1,2021-11-20,16:10:00,15,CALLE,-58.438352781119,-34.596614392847,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0580832,1,2021-11-20,18:30:00,4,CALLE,-58.366766435973,-34.636122064926,SIN DATO,TAXI,SIN DATO - TAXI,SIN DATO
LC-2021-0580857,1,2021-11-20,19:00:00,1,AVENIDA,-58.381542009623,-34.609063850489,AUTO,CAMIONETA,AUTO - CAMIONETA,SIN DATO
LC-2021-0580883,1,2021-11-20,17:55:00,5,AVENIDA,-58.423648287930,-34.621680405984,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0581048,1,2021-11-20,23:45:00,1,AVENIDA,-58.382209281858,-34.603738980870,MOTO,OBJETO FIJO,MOTO - OBJETO FIJO,SIN DATO
LC-2021-0581078,3,2021-11-21,00:30:00,12,AVENIDA,-58.473786649139,-34.541530777721,AUTO,TRANSPORTE PUBLICO,AUTO - TRANSPORTE PUBLICO,SIN DATO
LC-2021-0581152,1,2021-11-21,01:20:00,14,AVENIDA,-58.403796190443,-34.581444839371,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2021-0581585,1,2021-11-21,13:40:00,3,CALLE,-58.411735719103,-34.610538789968,PEATON,TAXI,PEATON - TAXI,SIN DATO
